new label;species label;genus label;family label;species;genus;family
0;0;0;0;Unxia camphorata L.f.;Unxia;Compositae
1;1;1;1;Connarus fasciculatus (DC.) Planch.;Connarus;Connaraceae
2;2;2;2;Jacquemontia tamnifolia (L.) Griseb.;Jacquemontia;Convolvulaceae
3;3;3;2;Maripa glabra Choisy;Maripa;Convolvulaceae
4;4;3;2;Maripa violacea (Aubl.) Ooststr. ex Lanj. & Uittien;Maripa;Convolvulaceae
5;5;4;2;Merremia umbellata (L.) Hallier f.;Merremia;Convolvulaceae
6;6;5;3;Costus arabicus L.;Costus;Costaceae
7;7;5;3;Costus claviger Benoist;Costus;Costaceae
8;8;5;3;Costus erythrothyrsus Loes.;Costus;Costaceae
9;9;5;3;Costus scaber Ruiz & Pav.;Costus;Costaceae
10;10;5;3;Costus spiralis (Jacq.) Roscoe;Costus;Costaceae
11;11;6;4;Bryophyllum pinnatum (Lam.) Oken;Bryophyllum;Crassulaceae
12;12;7;5;Gurania reticulata Cogn.;Gurania;Cucurbitaceae
13;13;8;5;Melothria pendula L.;Melothria;Cucurbitaceae
14;14;9;6;Cyathea microdonta (Desv.) Domin;Cyathea;Cyatheaceae
15;15;9;6;Cyathea pungens (Willd.) Domin;Cyathea;Cyatheaceae
16;16;9;6;Cyathea surinamensis (Miq.) Domin;Cyathea;Cyatheaceae
17;17;10;7;Evodianthus funifer (Poit.) Lindm.;Evodianthus;Cyclanthaceae
18;18;11;8;Hymenocallis tubiflora Salisb.;Hymenocallis;Amaryllidaceae
19;19;12;9;Pteridium arachnoideum (Kaulf.) Maxon;Pteridium;Dennstaedtiaceae
20;20;13;10;Tapura guianensis Aubl.;Tapura;Dichapetalaceae
21;21;14;11;Davilla kunthii A.St.-Hil.;Davilla;Dilleniaceae
22;22;15;12;Cyclodium meniscioides (Willd.) C. Presl;Cyclodium;Dryopteridaceae
23;23;16;12;Olfersia cervina (L.) Kunze;Olfersia;Dryopteridaceae
24;24;17;12;Polybotrya caudata Kunze;Polybotrya;Dryopteridaceae
25;25;17;12;Polybotrya osmundacea Humb. & Bonpl. ex Willd.;Polybotrya;Dryopteridaceae
26;26;18;13;Diospyros capreifolia Mart. ex Hiern;Diospyros;Ebenaceae
27;27;18;13;Diospyros carbonaria Benoist;Diospyros;Ebenaceae
28;28;18;13;Diospyros cayennensis A.DC.;Diospyros;Ebenaceae
29;29;18;13;Diospyros dichroa Sandwith;Diospyros;Ebenaceae
30;30;18;13;Diospyros discolor Willd.;Diospyros;Ebenaceae
31;31;18;13;Diospyros lissocarpoides Sandwith;Diospyros;Ebenaceae
32;32;18;13;Diospyros matheriana A.C.Sm.;Diospyros;Ebenaceae
33;33;18;13;Diospyros sericea A.DC.;Diospyros;Ebenaceae
34;34;18;13;Diospyros tetrandra Hiern;Diospyros;Ebenaceae
35;35;18;13;Diospyros vestita Benoist;Diospyros;Ebenaceae
36;36;19;14;Sloanea eichleri K.Schum.;Sloanea;Elaeocarpaceae
37;37;19;14;Sloanea grandiflora Sm.;Sloanea;Elaeocarpaceae
38;38;19;14;Sloanea guianensis (Aubl.) Benth.;Sloanea;Elaeocarpaceae
39;39;19;14;Sloanea latifolia (Rich.) K.Schum.;Sloanea;Elaeocarpaceae
40;40;20;15;Anacardium occidentale L.;Anacardium;Anacardiaceae
41;41;21;16;Cavendishia callista Donn.Sm.;Cavendishia;Ericaceae
42;42;22;15;Mangifera indica L.;Mangifera;Anacardiaceae
43;43;23;16;Sphyrospermum cordifolium Benth.;Sphyrospermum;Ericaceae
44;44;24;17;Syngonanthus caulescens (Poir.) Ruhland;Syngonanthus;Eriocaulaceae
45;45;25;17;Tonina fluviatilis Aubl.;Tonina;Eriocaulaceae
46;46;26;18;Erythroxylum amazonicum Peyr.;Erythroxylum;Erythroxylaceae
47;47;26;18;Erythroxylum fimbriatum Peyr.;Erythroxylum;Erythroxylaceae
48;48;26;18;Erythroxylum macrophyllum Cav.;Erythroxylum;Erythroxylaceae
49;49;26;18;Erythroxylum squamatum Sw.;Erythroxylum;Erythroxylaceae
50;50;27;19;Conceveiba martiana Baill.;Conceveiba;Euphorbiaceae
51;51;28;15;Spondias mombin L.;Spondias;Anacardiaceae
52;52;29;15;Tapirira guianensis Aubl.;Tapirira;Anacardiaceae
53;53;29;15;Tapirira obtusa (Benth.) J.D.Mitch.;Tapirira;Anacardiaceae
54;54;30;15;Thyrsodium guianense Sagot ex Marchand;Thyrsodium;Anacardiaceae
55;55;31;19;Croton matourensis Aubl.;Croton;Euphorbiaceae
56;56;30;15;Thyrsodium spruceanum Benth.;Thyrsodium;Anacardiaceae
57;57;31;19;Croton nuntians Croizat;Croton;Euphorbiaceae
58;58;31;19;Croton schiedeanus Schltdl.;Croton;Euphorbiaceae
59;59;32;19;Dalechampia tiliifolia Lam.;Dalechampia;Euphorbiaceae
60;60;33;19;Euphorbia cotinifolia L.;Euphorbia;Euphorbiaceae
61;61;33;19;Euphorbia heterophylla L.;Euphorbia;Euphorbiaceae
62;62;33;19;Euphorbia hyssopifolia L.;Euphorbia;Euphorbiaceae
63;63;33;19;Euphorbia prostrata Aiton;Euphorbia;Euphorbiaceae
64;64;33;19;Euphorbia thymifolia L.;Euphorbia;Euphorbiaceae
65;65;33;19;Euphorbia tithymaloides L.;Euphorbia;Euphorbiaceae
66;66;34;19;Glycydendron amazonicum Ducke;Glycydendron;Euphorbiaceae
67;67;35;20;Anaxagorea dolichocarpa Sprague & Sandwith;Anaxagorea;Annonaceae
68;68;36;19;Hura crepitans L.;Hura;Euphorbiaceae
69;69;37;19;Jatropha curcas L.;Jatropha;Euphorbiaceae
70;70;37;19;Jatropha gossypiifolia L.;Jatropha;Euphorbiaceae
71;71;38;19;Mabea subsessilis Pax & K.Hoffm.;Mabea;Euphorbiaceae
72;72;39;20;Annona ambotay Aubl.;Annona;Annonaceae
73;73;40;19;Manihot baccata Allem;Manihot;Euphorbiaceae
74;74;39;20;Annona foetida Mart.;Annona;Annonaceae
75;75;41;19;Maprounea guianensis Aubl.;Maprounea;Euphorbiaceae
76;76;39;20;Annona glabra L.;Annona;Annonaceae
77;77;39;20;Annona haematantha Miq.;Annona;Annonaceae
78;78;42;19;Omphalea diandra L.;Omphalea;Euphorbiaceae
79;79;43;19;Ricinus communis L.;Ricinus;Euphorbiaceae
80;80;44;19;Sagotia racemosa Baill.;Sagotia;Euphorbiaceae
81;81;45;19;Sandwithia guyanensis Lanj.;Sandwithia;Euphorbiaceae
82;82;46;19;Sapium glandulosum (L.) Morong;Sapium;Euphorbiaceae
83;83;46;19;Sapium paucinervium Hemsl.;Sapium;Euphorbiaceae
84;84;39;20;Annona muricata L.;Annona;Annonaceae
85;85;39;20;Annona neoelliptica H.Rainer & Maas;Annona;Annonaceae
86;86;39;20;Annona paludosa Aubl.;Annona;Annonaceae
87;87;39;20;Annona prevostiae H.Rainer;Annona;Annonaceae
88;88;39;20;Annona sericea Dunal;Annona;Annonaceae
89;89;47;21;Chelonanthus alatus (Aubl.) Pulle;Chelonanthus;Gentianaceae
90;90;48;20;Cremastosperma brevipes (DC. ex Dunal) R.E.Fr.;Cremastosperma;Annonaceae
91;91;49;20;Cymbopetalum brasiliense (Vell.) Benth. ex Baill.;Cymbopetalum;Annonaceae
92;92;50;21;Potalia amara Aubl.;Potalia;Gentianaceae
93;93;51;21;Tachia guianensis Aubl.;Tachia;Gentianaceae
94;94;52;21;Voyria caerulea Aubl.;Voyria;Gentianaceae
95;95;52;21;Voyria rosea Aubl.;Voyria;Gentianaceae
96;96;53;20;Duguetia calycina Benoist;Duguetia;Annonaceae
97;97;53;20;Duguetia eximia Diels;Duguetia;Annonaceae
98;98;53;20;Duguetia inconspicua Sagot;Duguetia;Annonaceae
99;99;54;22;Chrysothemis pulchella (Donn ex Sims) Decne.;Chrysothemis;Gesneriaceae
100;100;53;20;Duguetia surinamensis R.E.Fr.;Duguetia;Annonaceae
101;101;53;20;Duguetia yeshidan Sandwith;Duguetia;Annonaceae
102;102;55;20;Ephedranthus guianensis R.E.Fr.;Ephedranthus;Annonaceae
103;103;56;22;Lembocarpus amoenus Leeuwenb.;Lembocarpus;Gesneriaceae
104;104;57;20;Fusaea longifolia (Aubl.) Saff.;Fusaea;Annonaceae
105;105;58;22;Sinningia incarnata (Aubl.) D.L.Denham;Sinningia;Gesneriaceae
106;106;59;23;Dicranopteris flexuosa (Schrad.) Underw.;Dicranopteris;Gleicheniaceae
107;107;59;23;Dicranopteris pectinata (Willd.) Underw.;Dicranopteris;Gleicheniaceae
108;108;60;24;Gnetum urens (Aubl.) Blume;Gnetum;Gnetaceae
109;109;61;25;Goupia glabra Aubl.;Goupia;Goupiaceae
110;110;62;26;Heliconia chartacea Lane ex Barreiros;Heliconia;Heliconiaceae
111;111;62;26;Heliconia densiflora Verl.;Heliconia;Heliconiaceae
112;112;62;26;Heliconia hirsuta L.f.;Heliconia;Heliconiaceae
113;113;62;26;Heliconia pendula Wawra;Heliconia;Heliconiaceae
114;114;62;26;Heliconia psittacorum L.f.;Heliconia;Heliconiaceae
115;115;62;26;Heliconia richardiana Miq.;Heliconia;Heliconiaceae
116;116;63;27;Hernandia guianensis Aubl.;Hernandia;Hernandiaceae
117;117;64;27;Sparattanthelium uncigerum (Meisn.) Kubitzki;Sparattanthelium;Hernandiaceae
118;118;65;20;Guatteria guianensis (Aubl.) R.E.Fr.;Guatteria;Annonaceae
119;119;65;20;Guatteria intermedia Scharf;Guatteria;Annonaceae
120;120;65;20;Guatteria liesneri D.M.Johnson & N.A.Murray;Guatteria;Annonaceae
121;121;66;28;Hymenophyllum decurrens (Jacq.) Sw.;Hymenophyllum;Hymenophyllaceae
122;122;66;28;Hymenophyllum hirsutum (L.) Sw.;Hymenophyllum;Hymenophyllaceae
123;123;65;20;Guatteria ouregou (Aubl.) Dunal;Guatteria;Annonaceae
124;124;65;20;Guatteria pannosa Scharf & Maas;Guatteria;Annonaceae
125;125;67;28;Trichomanes ankersii C. Parker ex Hook. & Grev.;Trichomanes;Hymenophyllaceae
126;126;67;28;Trichomanes arbuscula Desv.;Trichomanes;Hymenophyllaceae
127;127;67;28;Trichomanes crispum L.;Trichomanes;Hymenophyllaceae
128;128;67;28;Trichomanes diversifrons (Bory) Mett. ex Sadeb.;Trichomanes;Hymenophyllaceae
129;129;67;28;Trichomanes elegans Rich.;Trichomanes;Hymenophyllaceae
130;130;67;28;Trichomanes krausii Hook. & Grev.;Trichomanes;Hymenophyllaceae
131;131;67;28;Trichomanes pedicellatum Desv.;Trichomanes;Hymenophyllaceae
132;132;67;28;Trichomanes pinnatum Hedw.;Trichomanes;Hymenophyllaceae
133;133;67;28;Trichomanes punctatum Poir.;Trichomanes;Hymenophyllaceae
134;134;67;28;Trichomanes trollii Bergdolt;Trichomanes;Hymenophyllaceae
135;135;67;28;Trichomanes vittaria DC. ex Poir.;Trichomanes;Hymenophyllaceae
136;136;65;20;Guatteria scandens Ducke;Guatteria;Annonaceae
137;137;65;20;Guatteria schomburgkiana Mart.;Guatteria;Annonaceae
138;138;68;29;Vismia cayennensis (Jacq.) Pers.;Vismia;Hypericaceae
139;139;68;29;Vismia latifolia (Aubl.) Choisy;Vismia;Hypericaceae
140;140;68;29;Vismia ramuliflora Miq.;Vismia;Hypericaceae
141;141;68;29;Vismia sessilifolia (Aubl.) Choisy;Vismia;Hypericaceae
142;142;69;30;Didymochlaena truncatula (Sw.) J. Sm.;Didymochlaena;Hypodematiaceae
143;143;70;31;Emmotum fagifolium Desv. ex Ham.;Emmotum;Icacinaceae
144;144;71;32;Cipura paludosa Aubl.;Cipura;Iridaceae
145;145;72;32;Eleutherine bulbosa (Mill.) Urb.;Eleutherine;Iridaceae
146;146;73;20;Oxandra asbeckii (Pulle) R.E.Fr.;Oxandra;Annonaceae
147;147;73;20;Oxandra xylopioides Diels;Oxandra;Annonaceae
148;148;74;33;Lacistema aggregatum (P.J.Bergius) Rusby;Lacistema;Lacistemataceae
